signature	mean_A	mean_B	p_ttest	p_wilcox	p_ttest_Bonf	p_ttest_BH	p_wilcox_Bonf	p_wilcox_BH	n_samples	n_mutations	additional_sig	frac_extra	seed	amsd_p	replicate	param_set	run_id
SBS5	21.888	25.28	0.000681652507224913	0.00113445368165241	0.0374908878973702	0.0374908878973702	0.0623949524908828	0.0623949524908828	125	50	SBS40	0.1	1756171533	0.095	4	11	104
SBS5	20.88	24.896	0.000283355781513679	0.000105106046644966	0.0175680584538481	0.0175680584538481	0.00651657489198788	0.00651657489198788	125	50	SBS40	0.1	1756171669	0.276	5	11	105
SBS5	20.928	24.64	0.00145263462811839	0.00180333120740846	0.0813475391746296	0.0813475391746296	0.100986547614873	0.100986547614873	125	50	SBS40	0.1	1756171800	0.023	6	11	106
SBS5	22.136	24.352	0.033299904433612	0.0570215616535725	1	0.638515890337964	1	0.677708223398827	125	50	SBS40	0.1	1756171934	0.231	7	11	107
SBS5	21.12	25.272	8.6229603146234e-05	0.000144349176359689	0.00517377618877404	0.00517377618877404	0.00866095058158137	0.00866095058158137	125	50	SBS40	0.1	1756172070	0.136	8	11	108
SBS2	0.04	0.296	0.0335394345907375	0.0316670099051745	1	0.562046348347308	1	0.532270184975319	125	50	SBS40	0.1	1756172193	0.051	9	11	109
SBS32	0.28	1.216	0.0079782939503494	0.012971135175601	0.486675930971313	0.486675930971313	0.791239245711663	0.491347082315582	125	50	SBS40	0.1	1756172326	0.005	10	11	110
SBS5	22.28	27.544	1.82806192463172e-06	3.2893066120038e-06	0.000100543405854745	0.000100543405854745	0.000180911863660209	0.000180911863660209	125	50	SBS40	0.2	1756172452	0.001	1	12	111
SBS5	21.312	25.752	0.000140647014723919	0.000153868754510597	0.00872011491288299	0.00872011491288299	0.00953986277965703	0.00953986277965703	125	50	SBS40	0.2	1756172578	0.001	2	12	112
SBS5	20.68	27.248	1.56090877481834e-07	2.43350333533716e-08	9.05327089394638e-06	9.05327089394638e-06	1.41143193449555e-06	1.41143193449555e-06	125	50	SBS40	0.2	1756172715	0.001	3	12	113
SBS5	21.288	27.36	2.95809984489196e-07	4.66006731151881e-07	1.59737391624166e-05	1.59737391624166e-05	2.51643634822016e-05	2.51643634822016e-05	125	50	SBS40	0.2	1756172851	0.003	4	12	114
SBS5	20.432	25.912	4.77389204699496e-06	7.27130515452253e-06	0.000295981306913687	0.000295981306913687	0.000450820919580397	0.000450820919580397	125	50	SBS40	0.2	1756172980	0.001	5	12	115
SBS5	21.056	27.92	7.57321821741956e-10	1.54093004932303e-09	4.54393093045174e-08	4.54393093045174e-08	9.24558029593818e-08	9.24558029593818e-08	125	50	SBS40	0.2	1756173112	0.001	6	12	116
SBS5	22.08	27.528	2.53859938027741e-06	2.55089768333466e-05	0.000142161565295535	0.000142161565295535	0.00142850270266741	0.00142850270266741	125	50	SBS40	0.2	1756173239	0.001	7	12	117
SBS5	21.848	28.48	7.3535325645847e-08	1.02904229098448e-07	4.33858421310497e-06	4.33858421310497e-06	6.07134951680841e-06	6.07134951680841e-06	125	50	SBS40	0.2	1756173374	0.001	8	12	118
SBS5	21.904	26.168	0.000170535708421204	3.56222919760096e-05	0.00954999967158742	0.00954999967158742	0.00199484835065654	0.00199484835065654	125	50	SBS40	0.2	1756173505	0.004	9	12	119
SBS5	19.616	27.224	4.84731403539247e-11	1.09150962701464e-10	3.10228098265118e-09	3.10228098265118e-09	6.98566161289372e-09	6.98566161289372e-09	125	50	SBS40	0.2	1756173650	0.001	10	12	120
SBS19	0.1088	0.3488	0.00219911021477372	0.00631499691708365	0.149539494604613	0.149539494604613	0.429419790361688	0.429419790361688	625	50	SBS40	0.02	1756173782	0.046	1	13	121
SBS53	0.0384	0.1824	0.00614915660017484	0.00443941538457993	0.418142648811889	0.289461477323906	0.301880246151435	0.150940123075718	625	50	SBS40	0.02	1756174259	0.098	2	13	122
SBS7a	0.0256	0.1728	0.00122827369307605	0.000957215583658038	0.0896639795945516	0.0896639795945516	0.0698767376070368	0.0698767376070368	625	50	SBS40	0.02	1756174692	0.441	3	13	123
SBS36	0.0384	0.1584	0.0234818445578608	0.0312072006228977	1	0.722041195591838	1	0.653810520284007	625	50	SBS40	0.02	1756175119	0.416	4	13	124
SBS54	0.552	0.3024	0.00988604068879197	0.0171141353604811	0.721680970281814	0.529895314280918	1	0.641392048264392	625	50	SBS40	0.02	1756175539	0.13	5	13	125
SBS2	0.0064	0.0736	0.00524224538921722	0.00374851073816958	0.37744166802364	0.37744166802364	0.26989277314821	0.26989277314821	625	50	SBS40	0.02	1756175970	0.389	6	13	126
SBS46	0.0768	0.2752	0.0221485369210566	0.0177463152501874	1	0.814319526150978	1	0.830479503992695	625	50	SBS40	0.02	1756176400	0.444	7	13	127
SBS23	0.0976	0.0096	0.0118958807500532	0.0110860219390728	0.856503414003831	0.546771246753844	0.798193579613244	0.546791981406551	625	50	SBS40	0.02	1756176866	0.282	8	13	128
SBS39	0.0688	0.3536	0.00463336224225046	0.00439206175112236	0.319701994715282	0.319701994715282	0.303052260827443	0.303052260827443	625	50	SBS40	0.02	1756177299	0.622	9	13	129
SBS5	21.168	22.6272	0.00145596478464222	0.00334677343507697	0.099005605355671	0.099005605355671	0.227580593585234	0.227580593585234	625	50	SBS40	0.02	1756177791	0.974	10	13	130
SBS36	0.0128	0.1296	0.0154205213879146	0.0191313077098257	1	0.426175819912413	1	0.35707742450997	625	50	SBS40	0.05	1756178273	0.196	1	14	131
SBS5	21.7264	23.056	0.00395920690800518	0.00267363700803818	0.281103690468368	0.281103690468368	0.189828227570711	0.189828227570711	625	50	SBS40	0.05	1756178760	0.059	2	14	132
SBS5	21.848	23.2	0.00275262838735586	0.00615951464328664	0.19268398711491	0.19268398711491	0.431166025030065	0.431166025030065	625	50	SBS40	0.05	1756179263	0.154	3	14	133
SBS24	0.0608	0.3248	0.0025091065813679	0.00159613376935723	0.173128354114385	0.173128354114385	0.110133230085649	0.110133230085649	625	50	SBS40	0.05	1756179703	0.007	4	14	134
SBS5	21.1408	22.808	0.000272835221195383	0.000150053693303223	0.0190984654836768	0.0190984654836768	0.0105037585312256	0.0105037585312256	625	50	SBS40	0.05	1756180128	0.05	5	14	135
SBS15	1.6688	1.1344	0.0170384381643344	0.0314596399933102	1	0.573456126036495	1	0.627467242380703	625	50	SBS40	0.05	1756180556	0.051	6	14	136
SBS58	0.5088	0.1856	0.0044945782672587	0.002110661368231	0.328104213509885	0.328104213509885	0.154078279880863	0.154078279880863	625	50	SBS40	0.05	1756180997	0.012	7	14	137
SBS5	21.496	22.9952	0.00108235947849133	0.000525533034596177	0.0779298824513757	0.0779298824513757	0.0378383784909247	0.0378383784909247	625	50	SBS40	0.05	1756181414	0.022	8	14	138
SBS5	21.3136	22.4528	0.0130494044273259	0.0144351746098691	0.965655927622114	0.734676916514695	1	0.695135307373077	625	50	SBS40	0.05	1756181831	0.257	9	14	139
SBS5	21.0912	22.7472	0.000263681956570131	7.93102444985753e-05	0.0189851008730494	0.0189851008730494	0.00571033760389742	0.00571033760389742	625	50	SBS40	0.05	1756182244	0.165	10	14	140
SBS5	21.3472	24.488	5.18915000294252e-11	1.2227171450083e-10	3.63240500205977e-09	3.63240500205977e-09	8.55902001505811e-09	8.55902001505811e-09	625	50	SBS40	0.1	1756182651	0.001	1	15	141
SBS5	21.3952	24.2672	3.79907968853789e-09	1.05711100378698e-08	2.58337418820577e-07	2.58337418820577e-07	7.18835482575149e-07	7.18835482575149e-07	625	50	SBS40	0.1	1756183086	0.001	2	15	142
SBS5	21.8992	24.6304	2.51802439994148e-08	7.09597892487618e-09	1.76261707995903e-06	1.76261707995903e-06	4.96718524741333e-07	4.96718524741333e-07	625	50	SBS40	0.1	1756183510	0.001	3	15	143
SBS5	21.4192	24.1648	3.55107697570122e-08	1.74460895913343e-08	2.69881850153293e-06	2.69881850153293e-06	1.32590280894141e-06	1.32590280894141e-06	625	50	SBS40	0.1	1756183933	0.001	4	15	144
SBS5	21.8304	24.5408	5.52949669054969e-09	7.61195782406755e-10	3.87064768338479e-07	3.87064768338479e-07	5.32837047684729e-08	5.32837047684729e-08	625	50	SBS40	0.1	1756184382	0.001	5	15	145
SBS5	21.5504	23.7024	5.77609443044899e-06	3.83982136724143e-06	0.000415878798992327	0.000415878798992327	0.000276467138441383	0.000276467138441383	625	50	SBS40	0.1	1756184848	0.005	6	15	146
SBS5	21.7248	24.7472	3.51782075751097e-10	7.44587806073134e-10	2.42729632268257e-08	2.42729632268257e-08	5.13765586190462e-08	5.13765586190462e-08	625	50	SBS40	0.1	1756185289	0.001	7	15	147
SBS5	21.936	23.912	5.21501536234114e-05	4.73430960340782e-05	0.00375481106088562	0.00375481106088562	0.00340870291445363	0.00340870291445363	625	50	SBS40	0.1	1756185713	0.001	8	15	148
SBS5	20.848	23.9168	8.97305994622288e-11	2.99600785987892e-12	6.37087256181825e-09	6.37087256181825e-09	2.12716558051403e-10	2.12716558051403e-10	625	50	SBS40	0.1	1756186131	0.001	9	15	149
SBS5	21.4608	24.8176	1.24230407303016e-12	4.94586836848422e-13	8.94458932581712e-11	8.94458932581712e-11	3.56102522530864e-11	3.56102522530864e-11	625	50	SBS40	0.1	1756186557	0.001	10	15	150
SBS5	21.1152	27.1232	4.11610512600113e-31	8.61660848996086e-33	2.9224346394608e-29	2.9224346394608e-29	6.11779202787221e-31	6.11779202787221e-31	625	50	SBS40	0.2	1756186950	0.001	1	16	151
SBS5	21.656	26.9472	3.66770609338561e-25	7.187839657593e-26	2.60407132630378e-23	2.60407132630378e-23	5.10336615689103e-24	5.10336615689103e-24	625	50	SBS40	0.2	1756187376	0.001	2	16	152
SBS5	21.3104	26.928	6.43568060881449e-27	1.0235729036595e-28	4.63369003834644e-25	4.63369003834644e-25	7.36972490634838e-27	7.36972490634838e-27	625	50	SBS40	0.2	1756187812	0.001	3	16	153
SBS5	22.0096	26.6208	2.07020962867351e-20	5.18073038753429e-20	1.46984883635819e-18	1.46984883635819e-18	3.67831857514935e-18	3.67831857514935e-18	625	50	SBS40	0.2	1756188253	0.001	4	16	154
SBS5	21.5056	26.8448	1.83927919708577e-24	1.19253697261789e-24	1.26910264598918e-22	1.26910264598918e-22	8.22850511106346e-23	8.22850511106346e-23	625	50	SBS40	0.2	1756188660	0.001	5	16	155
